CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
346;ALTA;Consejo Economico y Social de Aragon;Avda. Cesar Augusto 30 1º H;0;0;Zaragoza;Zaragoza;Consejo Economico y Social de Aragon;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0346-;-;-;;;;mon;doc;esq
347;ALTA;0;0;0;0;Zaragoza;Zaragoza;0;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0347-;-;-;;;;mon;doc;esq
349;ALTA;Granja San Lorenzo;C/ Granja San Lorenzo;0;0;Huesca;Huesca;Granja San Lorenzo;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-HUE0349-;-;-;;;;mon;doc;esq
351;ALTA;Pº de los  Pinos 9 - 13;Paseo de los Pinos 9 - 13;0;0;Barbastro;Huesca;Pº de los  Pinos 9 - 13;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BAR0351-;-;-;;;;mon;doc;esq
352;ALTA;Carrera de Huertos 5-6;Ctra. de Huertos 5-6;0;0;Benasque;Huesca;Carrera de Huertos 5-6;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BEN0352-;-;-;;;;mon;doc;esq
353;ALTA;El Molino;C/ El Molino;0;0;Benasque;Huesca;El Molino;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BEN0353-;-;-;;;;mon;doc;esq
354;ALTA;Centro de Interpretacion (Med. Amb.);C/ Afueras, 5 (Ctra. Arciles);974552066;0;Benasque;Huesca;Centro de Interpretacion (Med. Amb.);ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BEN0354-;-;-;ES. REMOTO;12X5;;mon;doc;esq
355;ALTA;Santa Teresa;C/ Santa Teresa;0;0;Fraga;Huesca;Santa Teresa;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-FRA0355-;-;-;;;;mon;doc;esq
356;ALTA;Extramuros;C/ Extramuros;0;0;Anso;Huesca;Extramuros;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-ANS0356-;-;-;;;;mon;doc;esq
357;ALTA;Centro de Interpretacion del Oso y Usos Multiples;C/ Santa Barbara;974370210;0;Anso;Huesca;Centro de Interpretacion;ADMINISTRACIÓN;HUESCA;SDWAN;978683098 ;VDSL 2 - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;HAANS0357INF;A;INF;ES. REMOTO;12X5;"""HAANS0357 - Centro de Interpretacion [Anso]""";mon;doc;esq
358;ALTA;Estacion Forestales;Estacion Forestales;974372178;0;Canfranc;Huesca;Estacion Forestales;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-CAN0358-;-;-;ES. REMOTO;12X5;;mon;doc;esq
359;ALTA;Fernando El Catolico;C/ Fernando El Catolico;0;0;Canfranc;Huesca;Fernando El Catolico;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-CAN0359-;-;-;;;;mon;doc;esq
360;ALTA;CENTRO DE INVESTIGACION Y TECNOLOGIA AGROALIMENTARIA (FINCA EXPERIMENTAL GARCIPOLLERA);Bescos de Garcipollera;974348155;0;Bescos de Garcipollera;Huesca;Bescos de Garcipollera;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BES0360-;-;-;ES. REMOTO;12X5;;mon;doc;esq
361;ALTA;Biescas (Zaragoza);Biescas (Zaragoza);0;0;Biescas;Huesca;Biescas (Zaragoza);ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BIE0361-;-;-;;;;mon;doc;esq
362;ALTA;Santa Elena (Biescas);Santa Elena (Biescas);0;0;Biescas;Huesca;Santa Elena (Biescas);ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BIE0362-;-;-;;;;mon;doc;esq
363;ALTA;Afueras S/ N;C/ Afueras S/ N;0;0;Escuer;Huesca;Afueras S/ N;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-ESC0363-;-;-;;;;mon;doc;esq
364;ALTA;Piscifactoria Planduviar;C/ Planduviar;974337752;0;Sarvise;Huesca;Planduviar;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-SAR0364-;-;-;ES. REMOTO;12X5;;mon;doc;esq
365;ALTA;Centro I + D (error antiguo);Ctra. Montañana - Peñaflor;0;0;Movera;Zaragoza;Centro I + D;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAMOV0365CEN;A;CEN;;;"""ZAMOV0365 - Centro I + D [Movera]""";mon;doc;esq
366;ALTA;OCA Tamarite;Paseo del Hortaz 21;974422820;0;Tamarite de Litera;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22720003011076
974421285";20Mb;;;;Instalada;HATAM0366OCA;A;OCA;ES. REMOTO;12X5;"""HATAM0366 - OCA [Tamarite de Litera]""";mon;doc;esq
367;ALTA;Direccion General de Trabajo;C/ Fernando El Catolico, 63-65;976715916;0;Zaragoza;Zaragoza;Direccion General de Trabajo;ADMINISTRACIÓN;ZARAGOZA;FIBRA;50190001230944 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;ZAZAR0367DGT;A;DGT;ESTANDAR;12X5;"""ZAZAR0367 - Direccion General de Trabajo [Zaragoza]""";mon;doc;esq
368;ALTA;Residencia Juvenil L. Buñuel;C/ Ciudad Escolar;0;0;Teruel;Teruel;Residencia Juvenil L. Buñuel;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-TER0368-;-;-;;;;mon;doc;esq
369;ALTA;Moncada;C/ Moncada;0;0;Teruel;Teruel;Moncada;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-TER0369-;-;-;;;;mon;doc;esq
370;ALTA;Liberacion (Antiguo);Ronda Liberacion;0;0;Teruel;Teruel;Liberacion (Antiguo);ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-TER0370-;-;-;;;;mon;doc;esq
371;ALTA;Cerro de Javalambre;Cerro de Javalambre;0;0;Camarena de La Sierra;Teruel;Cerro de Javalambre;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-CAM0371-;-;-;;;;mon;doc;esq
372;ALTA;Trinquete;C/ Trinquete;0;0;Alfambra;Teruel;Trinquete;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-ALF0372-;-;-;;;;mon;doc;esq
373;ALTA;San Anton;C/ San Anton;0;0;Loscos;Teruel;San Anton;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-LOS0373-;-;-;;;;mon;doc;esq
374;ALTA;Lanuza;C/ Lanuza;0;0;Santa Eulalia;Teruel;Lanuza;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-SAN0374-;-;-;;;;mon;doc;esq
375;ALTA;Canal;C/ Canal;0;0;Zaragoza;Zaragoza;Canal;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0375-;-;-;;;;mon;doc;esq
376;ALTA;G.I. Santa Maria del Pilar;C/ Jose Pellicer;976272487;0;Zaragoza;Zaragoza;Jose Pellicer;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0376-;-;-;ESTANDAR;12X5;;mon;doc;esq
377;ALTA;Ctra. de Madrid;Ctra. de Madrid;0;0;Zaragoza;Zaragoza;Ctra. de Madrid;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0377-;-;-;;;;mon;doc;esq
379;ALTA;Bernadino Ramazzini (Antiguo);C/ Bernadino Ramazzini;0;0;Zaragoza;Zaragoza;Bernadino Ramazzini (Antiguo);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0379-;-;-;;;;mon;doc;esq
380;ALTA;Afueras;Afueras;0;0;Gurrea de Gallego;Zaragoza;Afueras;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-GUR0380-;-;-;;;;mon;doc;esq
381;ALTA;CIAMA Centro de Recuperacion Animal;La Alfranca;976105840;0;Pastriz;Zaragoza;CIAMA;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAPAS0381CIA;A;CIA;ES. REMOTO;12X5;"""ZAPAS0381 - CIAMA [Pastriz]""";mon;doc;esq
382;ALTA;Zaragoza - Logroño;Ctra. Zaragoza - Logroño;0;0;Alagon;Zaragoza;Zaragoza - Logroño;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ALA0382-;-;-;;;;mon;doc;esq
383;ALTA;Forestales-TRACSA;Ctra. Sagunto - Burgos;976801262;0;Daroca;Zaragoza;Sagunto - Burgos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-DAR0383-;-;-;ES. REMOTO;12X5;;mon;doc;esq
384;ALTA;Estacion Remota de Calidad de Aire en Bujaraloz;C/ Diseminados;976173339;0;Bujaraloz;Zaragoza;Diseminados;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-BUJ0384-;-;-;ES. REMOTO;12X5;;mon;doc;esq
385;ALTA;Sociedad Promocion y Gestion del Turismo Aragones;C/ Mencañen;976282181;0;Sastago;Zaragoza;Mencañen;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-SAS0385-;-;-;ES. REMOTO;12X5;;mon;doc;esq
386;ALTA;C/ B1;C/ B1;0;0;Herrera de los  Navarros;Zaragoza;C/ B1;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-HER0386-;-;-;;;;mon;doc;esq
387;ALTA;OCA Cantavieja;Plaza Aula, 5;964185500;0;Cantavieja;Teruel;OCA;ADMINISTRACIÓN;TERUEL;gigADSL;-;-;;;;VPN IP (ADSL 2+);"12630003003084
964185438";20Mb;;;;Instalada;TACAN0387OCA;A;OCA;ES. REMOTO;12X5;"""TACAN0387 - OCA [Cantavieja]""";mon;doc;esq
388;ALTA;Centro Seleccion Animal. Movera;C/ Barriada de Movera s/n, bajos;0;0;Movera;Zaragoza;Centro Seleccion Animal. Movera;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MOV0388-;-;-;;;;mon;doc;esq
389;ALTA;D. G. Trabajo (Cesar Augusto 14);Avda. Cesar Augusto, 14;0;0;Zaragoza;Zaragoza;D. G. Trabajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0389-;-;-;;;;mon;doc;esq
390;ALTA;Audiencia Pablo Gargallo;Avda. Pablo Gargallo, 3;0;0;Zaragoza;Zaragoza;Audiencia Pablo Gargallo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0390-;-;-;;;;mon;doc;esq
391;ALTA;Cartografia;Paseo Pamplona, 12;0;0;Zaragoza;Zaragoza;Cartografia;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0391-;-;-;;;;mon;doc;esq
392;ALTA;SARGA;Ctra. Cogullada, 65;0;0;Zaragoza;Zaragoza;Ctra. Cogullada, 65;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0392-;-;-;;;;mon;doc;esq
393;ALTA;edif. Trovador (Inaga y SARGA);Plaza Antonio Beltran Martinez, 1 (edif. Trovador);0;0;Zaragoza;Zaragoza;Edif. Trovador (Inaga y SARGA);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAZAR0393TRO;A;TRO;;;"""ZAZAR0393 - Edif. Trovador (Inaga y SARGA) [Zaragoza]""";mon;doc;esq
394;ALTA;Aragonesa de Servicios Telematicos;Paseo Maria Agustin , 25-27-29;0;0;Zaragoza;Zaragoza;Aragonesa de Servicios Telematicos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0394-;-;-;;;;mon;doc;esq
395;ALTA;Conservatorio Superior de Musica;Avda. Hispanidad, 22;976716980;0;Zaragoza;Zaragoza;Conservatorio Superior de Musica;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0395CON;-;CON;ESTANDAR;12X5;;mon;doc;esq
396;ALTA;Servicios Tributarios;Paseo Independencia nº 28;0;0;Zaragoza;Zaragoza;Servicios Tributarios;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0396-;-;-;;;;mon;doc;esq
397;ALTA;ACUPUA;C/ Mariano Barbasan, 5;976467370;0;Zaragoza;Zaragoza;ACUPUA;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0397-;-;-;;;;mon;doc;esq
398;ALTA;Instituto Aragones de la Mujer;C/ Santa Teresa, 30-32;976716720;0;Zaragoza;Zaragoza;Instituto Aragones de la Mujer;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0398-;-;-;;;;mon;doc;esq
399;ALTA;Puerta Cinegia-Admon. Local;C/ Coso, 33-35;976714421;0;Zaragoza;Zaragoza;Puerta Cinegia-Admon. Local;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0399-;-;-;;;;mon;doc;esq
400;ALTA;OCA Ayerbe;Plaza de Aragon 40;974380800;0;Ayerbe;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22620003001283
974380837";20Mb;;;;Instalada;HAAYE0400OCA;A;OCA;ES. REMOTO;12X5;"""HAAYE0400 - OCA [Ayerbe]""";mon;doc;esq
401;ALTA;OCA Sariñena;C/ Pio Xii 15;974571300;0;Sariñena;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22710003004308
974570630";20Mb;;;;Instalada;HASAR0401OCA;A;OCA;ES. REMOTO;12X5;"""HASAR0401 - OCA [Sariñena]""";mon;doc;esq
402;ALTA;OCA Barbastro (Antiguo);Avda. Ejercito Español 2;0;0;Barbastro;Huesca;OCA;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BAR0402OCA;-;OCA;;;;mon;doc;esq
403;ALTA;OCA Hijar;C/ Calvario 1;978820606;0;Hijar;Teruel;OCA;ADMINISTRACIÓN;TERUEL;gigADSL;-;-;;;;VPN IP (ADSL 2+);"44660003002178
978820800";20Mb;;;;Instalada;TAHIJ0403OCA;A;OCA;ES. REMOTO;12X5;"""TAHIJ0403 - OCA [Hijar]""";mon;doc;esq
404;ALTA;OCA Calamocha (Antiguo);Avenida. Valencia, s/n;0;0;Calamocha;Teruel;OCA;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-CAL0404OCA;-;OCA;;;;mon;doc;esq
405;ALTA;OCA Graus;Plaza Compañia, 1;974546505;0;Graus;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22670003004042
974540174";Hasta 20Mb;;;;Instalada;HAGRA0405OCA;A;OCA;ES. REMOTO;12X5;"""HAGRA0405 - OCA [Graus]""";mon;doc;esq
406;ALTA;OCA Tarazona;Avda. Reino de Aragon, s/n;976199020;0;Tarazona;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;MACROLAN (FIBRA OPTICA);-;10Mb/10Mb;;;;VPN-IP(FTTH);"50750003012328
976875227";Futura 100/100;;;;Instalada;ZATAR0406OCA;A;OCA;ES. REMOTO;12X5;"""ZATAR0406 - OCA [Tarazona]""";mon;doc;esq
407;ALTA;OCA Caspe;Glorieta Alfonso Xiii, 17-18;976639040;0;Caspe;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"50670003006791
976633125";20Mb;;;;Instalada;ZACAS0407OCA;A;OCA;ES. REMOTO;12X5;"""ZACAS0407 - OCA [Caspe]""";mon;doc;esq
408;ALTA;OCA Alagon;C/ Baltasar Gracian, 2;976616070;0;Alagon;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"50610003014404
976612931";20Mb;;;;Instalada;ZAALA0408OCA;A;OCA;ES. REMOTO;12X5;"""ZAALA0408 - OCA [Alagon]""";mon;doc;esq
409;ALTA;OCA La Almunia;Avda. Corazon de Jesus, 11;976819001;0;La Almunia de Doña Godina;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (FTTH);"50630003012951
876642913";100M/100M;;;;Instalada;ZALA 0409OCA;A;OCA;ES. REMOTO;12X5;"""ZALA 0409 - OCA [La Almunia de Doña Godina]""";mon;doc;esq
410;ALTA;OCA Cariñena;Avda. del Ejercito Español, 26;976793003;0;Cariñena;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"50660003004372
976622222";Hasta 20 Mb;;;;Instalada;ZACAR0410OCA;A;OCA;ES. REMOTO;12X5;"""ZACAR0410 - OCA [Cariñena]""";mon;doc;esq
411;ALTA;OCA Ariza;Plaza del Hortal, 18;976879000;0;Ariza;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"50620003004510
976845529";20Mb;;;;Instalada;ZAARI0411OCA;A;OCA;ES. REMOTO;12X5;"""ZAARI0411 - OCA [Ariza]""";mon;doc;esq
412;ALTA;OCA Grañen;C/ Las Ciencias, 3;974391010;0;Grañen;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22660003001909
974390138";20Mb;;;;Instalada;HAGRA0412OCA;A;OCA;ES. REMOTO;12X5;"""HAGRA0412 - OCA [Grañen]""";mon;doc;esq
413;ALTA;OCA Muniesa;C/ Mayor, 19;978810910;0;Muniesa;Teruel;OCA;ADMINISTRACIÓN;TERUEL;gigADSL;-;-;;;;VPN IP (ADSL 2+);"44690003002078
978810830";20Mb;;;;Instalada;TAMUN0413OCA;A;OCA;ES. REMOTO;12X5;"""TAMUN0413 - OCA [Muniesa]""";mon;doc;esq
414;ALTA;OCA Castejon de Sos (Antiguo);Avda. El Real, 39;0;0;Castejon de Sos;Huesca;OCA;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-CAS0414OCA;-;OCA;;;;mon;doc;esq
415;ALTA;Oficina Delegada de Calatayud;Plaza de España, s/n;0;0;Calatayud;Zaragoza;Oficina Delegada;ADMINISTRACIÓN;ZARAGOZA;MACROLAN (FIBRA OPTICA);-;10Mb/10Mb;;;;MLAN 100Mb;-;20Mb;;;;;Z-CAL0415-;-;-;;;;mon;doc;esq
416;ALTA;Hogar 3ª Edad Sabiñanigo;Avda. Serrablo, s/n;974481047;0;Sabiñanigo;Huesca;Hogar;ADMINISTRACIÓN;HUESCA;SDWAN;976864715 ;ADSL 2+ - ;;;;;;;;;;;HASAB0416RES;A;RES;ES. REMOTO;12X5;"""HASAB0416 - Hogar [Sabiñanigo]""";mon;doc;esq
417;ALTA;Oficina Delegada de Jaca;Avda. Levante 10;974356736;0;Jaca;Huesca;Oficina Delegada;ADMINISTRACIÓN;HUESCA;MACROLAN (FIBRA OPTICA);-;10Mb/10Mb;;;;VPN IP (FTTH);"22680003014539
974352063";Futura 300/300;;;;Instalada;HAJAC0417OFD;A;OFD;ES. REMOTO;12X5;"""HAJAC0417 - Oficina Delegada [Jaca]""";mon;doc;esq
418;ALTA;Policia Autonomica Teruel;C/ Maestro Fabregat, 2;978641400;0;Teruel;Teruel;Policia Autonomica;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;TATER0418POL;A;POL;ESTANDAR;24x7;"""TATER0418 - Policia Autonomica [Teruel]""";mon;doc;esq
419;ALTA;Museo Pablo Serrano;Paseo Maria Agustin, 20;976280659;0;Zaragoza;Zaragoza;Museo Pablo Serrano;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAZAR0419MUS;A;MUS;ESTANDAR;12X5;"""ZAZAR0419 - Museo Pablo Serrano [Zaragoza]""";mon;doc;esq
420;ALTA;Ayntamiento de Huesca;Plaza de la Catedral, 1;0;0;Huesca;Huesca;Ayuntamiento;EXTERNO;;;;;;;;;;;;;;;H-HUE0420-;-;-;;;;mon;doc;esq
421;ALTA;DP Huesca;C/ Porches de Galicia, 4;0;0;Huesca;Huesca;Diputacion Provincial;EXTERNO;;;;;;;;;;;;;;;H-HUE0421DPH;-;DPH;;;;mon;doc;esq
422;ALTA;DP Huesca 1;C/ Berenguer, 8;0;0;Huesca;Huesca;Diputacion Provincial;EXTERNO;;;;;;;;;;;;;;;H-HUE0422-;-;-;;;;mon;doc;esq
423;ALTA;DP Huesca 2;Avda. Parque, 10;0;0;Huesca;Huesca;Diputacion Provincial;EXTERNO;;;;;;;;;;;;;;;H-HUE0423-;-;-;;;;mon;doc;esq
424;ALTA;DP Teruel;Plaza San Juan, 7;0;0;Teruel;Teruel;DP Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER0424-;-;-;;;;mon;doc;esq
425;ALTA;INAEM Dir. Prov. TE/Centro Ocupacional;C/ Nicanor Villalta, 22;978641490;0;Teruel;Teruel;INAEM Dir. Prov. TE/Centro Ocupacional;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;TATER0425INA;A;INA;ESTANDAR;12X5;"""TATER0425 - INAEM Dir. Prov. TE/Centro Ocupacional [Teruel]""";mon;doc;esq
426;ALTA;Centro de Formacion de Monzon;C/ La Balsa, s/n;0;0;Monzon;Huesca;Centro de Formacion;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-MON0426-;-;-;;;;mon;doc;esq
427;ALTA;Oficina Empleo de Fraga;Paseo Constitucion, s/n;974474732;0;Fraga;Huesca;Oficina Empleo;EMPLEO;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22650003014705
974471477";Hasta 20 Mb;;;;Instalada;HEFRA0427EMP;E;EMP;ES. REMOTO;12X5;"""HEFRA0427 - Oficina Empleo [Fraga]""";mon;doc;esq
428;ALTA;Zona Veterinaria;Avda. del Pilar, 32;974404679;0;Monzon;Huesca;Zona Veterinaria;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-MON0428-;-;-;ES. REMOTO;12X5;;mon;doc;esq
429;ALTA;Aula Dei/ Inst. Mediterraneo;Avda. Montañana, 1005;976716000;0;Montañana;Zaragoza;Aula Dei/ Inst. Mediterraneo;EXTERNO;;;;;;;;;;;;;;;Z-MON0429-;-;-;ES. REMOTO;12X5;;mon;doc;esq
430;ALTA;Calidad Edificacion / Baja;Poligono Malpica C/ B 73;0;0;Zaragoza;Zaragoza;Calidad Edificacion;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0430-;-;-;;;;mon;doc;esq
432;ALTA;Hospital  Provincial Zaragoza (Antiguo);C/ Madre Rafols;0;0;Zaragoza;Zaragoza;Hospital  Prov.;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0432-;-;-;;;;mon;doc;esq
433;ALTA;Educacion (Rosa Arjon);C/ San Antonio Abad, 38;0;0;Zaragoza;Zaragoza;Educacion (Rosa Arjo);EDUCACIÓN;ZARAGOZA;F.O. Transporte Transparente;;100 Mb;-;;-;;;;;;;;ZEZAR0433ARJ;E;ARJ;;;"""ZEZAR0433 - Educacion (Rosa Arjo) [Zaragoza]""";mon;doc;esq
434;ALTA;Escuela de Hosteleria;C/ Mariano Muñoz Nogues, 11-13;0;0;Teruel;Teruel;Escuela de Hosteleria;ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-TER0434-;-;-;;;;mon;doc;esq
435;ALTA;Hospital Psiquiatrico Sto. Cristo de los Milagros;Ctra. Arguis Km 2.5;974220772;680653799 / 711016 Celadores;Huesca;Huesca;Hospital Psiq. Sto. Cristo de los Milagros;SALUD;SEC. HUESCA;FIBRA;22100001012680 ;100 Mb;F.O. Transporte Transparente;22100001012713 ;100 Mb;FIBRA;22100001012713 ;1 Gb;ADSL Provisional actual;22100001012713 ;"Provisional actual
20M/800K como máximo";;HSHUE0435PSI;S;PSI;ESTANDAR;24x7;"""HSHUE0435 - Hospital Psiq. Sto. Cristo de los Milagros [Huesca]""";mon;doc;esq
436;ALTA;IASS Centro Base Huesca;C/ Joaquin Costa, 28;974225650;0;Huesca;Huesca;IASS Centro Base;ADMINISTRACIÓN;HUESCA;VPN IP (FTTH);-;SIN INFO;;;;VPN IP (FTTH);"22100003031768
974286340";Futura 100/100;;;;Instalada;HAHUE0436IAS;A;IAS;ESTANDAR;12X5;"""HAHUE0436 - IASS Centro Base [Huesca]""";mon;doc;esq
437;ALTA;Juzgado de Huesca (Antiguo);C/ Santo Grial, 2 5ª;0;0;Huesca;Huesca;Juzgado;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-HUE0437-;-;-;;;;mon;doc;esq
438;ALTA;Hospital Provincial Nuestra Sra. de Gracia;C/ Ramon y Cajal, 60;976440022;"620204054 / 710298; 626474352 / 791160; responsable Mant; ";Zaragoza;Zaragoza;Hospital Prov. Ntra. Sra. de Gracia;SALUD;SEC. ZARAGOZA I;FIBRA;50190001229012 ;100 Mb;100 Mb;50190001228936 ;F.O. Transporte Transparente;FIBRA;50190001228936 ;1 Gb;"F.O. Transporte Transparente
Diversificada Pral.";50190001228936 ;100 Mb;;ZSZAR0438NSH;S;NSH;ESTANDAR;24x7;"""ZSZAR0438 - Hospital Prov. Ntra. Sra. de Gracia [Zaragoza]""";mon;doc;esq
439;ALTA;Junta de Saneamiento Agua I.A. Agua (Antiguo);C/ Dr. Antonio Valcarreres Ortiz, 1-3-5;0;0;Zaragoza;Zaragoza;Junta de Saneamiento Agua I.A. Agua (Antiguo);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0439-;-;-;;;;mon;doc;esq
440;ALTA;Oficina Delegada Calamocha;C/ Melchor Luzon, 6;978730594;0;Calamocha;Teruel;Oficina Delegada;ADMINISTRACIÓN;TERUEL;MACROLAN (FIBRA OPTICA);-;10Mb/10Mb;;;;MACROLAN;"44650001000315
720344115";100 Mb;;;;Instalada;TACAL0440OFD;A;OFD;ES. REMOTO;12X5;"""TACAL0440 - Oficina Delegada [Calamocha]""";mon;doc;esq
441;ALTA;Centro Base-1 IASS;C/ Santa Teresa, 19-21;976715666;0;Zaragoza;Zaragoza;Centro Base-1 IASS;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0441CEN;-;CEN;ESTANDAR;12X5;;mon;doc;esq
442;ALTA;Hospital Provincial Teruel (Antiguo);Avda. Zaragoza, 16;0;0;Teruel;Teruel;Hospital Prov. Teruel (Antiguo);ADMINISTRACIÓN;TERUEL;;;;;;;;;;;;;;T-TER0442-;-;-;;;;mon;doc;esq
